run_day,Leaf mass: g 0,Leaf mass: g 50,Leaf mass: g 100,Leaf mass: g 150,Leaf mass: g 200
400,1.565600,2.140000,0.932100,3.858800,2.259400
401,1.565600,2.140000,0.932100,3.858800,2.259400
402,1.565600,2.140000,0.932100,3.858800,2.259400
403,1.565600,2.140000,0.932100,3.858800,2.259400
404,1.565600,2.140000,0.932100,3.858800,2.259400
405,1.565600,2.140000,0.932100,3.858800,2.259400
406,1.565600,2.140000,0.932100,3.858800,2.259400
407,1.565600,2.140000,0.932100,3.858800,2.259400
408,1.565600,2.140000,0.932100,3.858800,2.259400
409,1.565600,2.140000,0.932100,3.858800,2.259400
410,1.565600,2.140000,0.932100,3.858800,2.259400
411,1.565600,2.140000,0.932100,3.858800,2.259400
412,1.565600,2.140000,0.932100,3.858800,2.259400
413,1.565600,2.140000,0.932100,3.858800,2.259400
414,1.565600,2.140000,0.932100,3.858800,2.259400
415,1.565600,2.140000,0.932100,3.858800,2.259400
416,1.565600,2.140000,0.932100,3.858800,2.259400
417,1.565600,2.140000,0.932100,3.858800,2.259400
418,1.565600,2.140000,0.932100,3.858800,2.259400
419,1.565600,2.140000,0.932100,3.858800,2.259400
420,1.565600,2.140000,0.932100,3.858800,2.259400
421,1.565600,2.140000,0.932100,3.858800,2.259400
422,1.565600,2.140000,0.932100,3.858800,2.259400
423,1.565600,2.140000,0.932100,3.858800,2.259400
424,1.565600,2.140000,0.932100,3.858800,2.259400
425,1.565600,2.140000,0.932100,3.858800,2.259400
426,1.565600,2.140000,0.932100,3.858800,2.259400
427,1.565600,2.140000,0.932100,3.858800,2.259400
428,1.565600,2.140000,0.932100,3.858800,2.259400
429,1.565600,2.140000,0.932100,3.858800,2.259400
430,1.565600,2.140000,0.932100,3.858800,2.259400
431,1.565600,2.140000,0.932100,3.858800,2.259400
432,1.565600,2.140000,0.932100,3.858800,2.259400
433,1.565600,2.140000,0.932100,3.858800,2.259400
434,1.565600,2.140000,0.932100,3.858800,2.259400
435,1.565600,2.140000,0.932100,3.858800,2.259400
436,1.565600,2.140000,0.932100,3.858800,2.259400
437,1.565600,2.140000,0.932100,3.858800,2.259400
438,1.565600,2.140000,0.932100,3.858800,2.259400
439,1.565600,2.140000,0.932100,3.858800,2.259400
440,1.565600,2.140000,0.932100,3.858800,2.259400
441,1.565600,2.140000,0.932100,3.858800,2.259400
442,1.565600,2.140000,0.932100,3.858800,2.259400
443,1.565600,2.140000,0.932100,3.858800,2.259400
444,1.565600,2.140000,0.932100,3.858800,2.259400
445,1.565600,2.140000,0.932100,3.858800,2.259400
446,1.565600,2.140000,0.932100,3.858800,2.259400
447,1.565600,2.140000,0.932100,3.858800,2.259400
448,1.565600,2.140000,0.932100,3.858800,2.259400
449,1.565600,2.140000,0.932100,3.858800,2.259400
450,1.565600,2.140000,0.932100,3.858800,2.259400
451,1.565600,2.140000,0.932100,3.858800,2.259400
452,1.565600,2.140000,0.932100,3.858800,2.259400
453,1.565600,2.140000,0.932100,3.858800,2.259400
454,1.565600,2.140000,0.932100,3.858800,2.259400
455,1.565600,2.140000,0.932100,3.858800,2.259400
456,1.565600,2.140000,0.932100,3.858800,2.259400
457,1.565600,2.140000,0.932100,3.858800,2.259400
458,1.565600,2.140000,0.932100,3.858800,2.259400
459,1.565600,2.140000,0.932100,3.858800,2.259400
460,1.565600,2.140000,0.932100,3.858800,2.259400
461,1.565600,2.140000,0.932100,3.858800,2.259400
462,1.565600,2.140000,0.932100,3.858800,2.259400
463,1.565600,2.140000,0.932100,3.858800,2.259400
464,1.565600,2.140000,0.932100,3.858800,2.259400
465,1.565600,2.140000,0.932100,3.858800,2.259400
466,1.565600,2.140000,0.932100,3.858800,2.259400
467,1.565600,2.140000,0.932100,3.858800,2.259400
468,1.565600,2.140000,0.932100,3.858800,2.259400
469,1.565600,2.140000,0.932100,3.858800,2.259400
470,1.565600,2.140000,0.932100,3.858800,2.259400
471,1.565600,2.140000,0.932100,3.858800,2.259400
472,1.565600,2.140000,0.932100,3.858800,2.259400
473,1.560200,2.150800,0.994400,3.805600,2.368900
474,1.554800,2.161600,1.056800,3.752500,2.478400
475,1.549400,2.172400,1.119100,3.699400,2.587800
476,1.543900,2.183200,1.181500,3.646300,2.697300
477,1.538500,2.193900,1.243800,3.593100,2.806800
478,1.533100,2.204700,1.306200,3.540000,2.916300
479,1.527700,2.215500,1.368500,3.486900,3.025800
480,1.522300,2.226300,1.430900,3.433700,3.135300
481,1.516900,2.237100,1.493200,3.380600,3.244800
482,1.511500,2.247900,1.555600,3.327500,3.354300
483,1.506100,2.258700,1.617900,3.274300,3.463800
484,1.500700,2.269500,1.680300,3.221200,3.573300
485,1.495300,2.280300,1.742600,3.168100,3.682700
486,1.489800,2.291100,1.805000,3.114900,3.792200
487,1.484400,2.301800,1.867300,3.061800,3.901700
488,1.479000,2.312600,1.929700,3.008700,4.011200
489,1.473600,2.323400,1.992000,2.955500,4.120700
490,1.468200,2.334200,2.054400,2.902400,4.230200
491,1.462800,2.345000,2.116700,2.849300,4.339700
492,1.457400,2.355800,2.179100,2.796200,4.449200
493,1.452000,2.366600,2.241400,2.743000,4.558700
494,1.446600,2.377400,2.303800,2.689900,4.668200
495,1.441200,2.388200,2.366100,2.636800,4.777600
496,1.435700,2.398900,2.428500,2.583600,4.887100
497,1.430300,2.409700,2.490800,2.530500,4.996600
498,1.424900,2.420500,2.553200,2.477400,5.106100
499,1.419500,2.431300,2.615500,2.424200,5.215600
500,1.414100,2.442100,2.677900,2.371100,5.325100
501,1.408700,2.452900,2.740200,2.318000,5.434600
502,1.403300,2.463700,2.802600,2.264800,5.544100
