"doy","mint_C","maxt_C","airt_C","co2_ppm","swrad_MJm2day","vpd_kPa","precip_kgm2s","wind_spd_ms"
152,8.56,16.94,12.766,430.285,22.1069088,0.3247,3.93634259259259e-05,8.697
153,2.762,16.68,11.215,442.783,18.3098016,0.2768,0.00035025462962963,8.931
154,8.02,14.43,11.274,428.439,20.645712,0.1841,7.16087962962963e-05,9.227
155,6.24,15.42,11.026,432.387,20.1302496,0.2369,6.60185185185185e-05,7.511
156,9.19,15.88,12.013,433.631,19.1059776,0.1368,0.000361423611111111,6.338
157,5.582,15.3,10.953,434.904,17.5605408,0.232,0.00016244212962963,5.963
158,4.736,14.9,10.698,437.557,18.51984,0.2398,0.000156840277777778,6.199
159,3.34,15.23,11.074,436.549,12.5787168,0.1258,5.53356481481481e-05,6.516
160,10.52,15.01,13.01,434.58,7.7404896,0.0137,0.000100173611111111,7.135
161,10.9,18.28,14.499,433.992,21.4321248,0.311,4.80324074074074e-06,3.954
162,13.48,19.12,16.168,433.297,25.3479456,0.199,5.76157407407407e-05,5.834
163,13.95,16.47,15.352,437.803,5.5443744,0.0052,0.000238159722222222,5.96
164,10.51,19.83,16.253,430.19,19.0738368,0.3331,0.000100358796296296,6.098
165,10.11,16.89,13.644,450.248,8.8864128,0.0108,0.000519756944444444,3.674
166,9.51,18.97,14.101,434.614,13.853808,0.1169,4.87731481481481e-05,6.337
167,10.13,21.57,16.271,432.075,26.3113056,0.4366,3.58796296296296e-07,6.754
168,11.83,21.01,16.335,429.214,23.1954624,0.2341,3.99305555555556e-05,7.403
169,9.01,22.73,16.116,447.856,27.587952,0.5542,0,3.169
170,7.849,26.49,18.585,463.9,30.3962112,0.7442,2.07175925925926e-06,5.303
171,14.89,27.98,21.44,434.506,30.664656,0.6806,4.26967592592593e-05,6.426
172,14.1,23.94,18.7,450.134,26.5972032,0.4875,2.25925925925926e-05,3.648
173,10.84,18.26,15.077,429.347,18.2742048,0.2199,0.000128055555555556,9.647
174,10.7,17.81,14.493,425.863,16.2321408,0.2857,2.00115740740741e-05,10.105
175,14.03,18.47,16.431,427.948,15.1552512,0.0889,0.000119490740740741,9.486
176,13.29,19.56,16.055,428.977,12.4874784,0.2314,0.000144895833333333,4.957
177,11.61,17.83,14.521,429.405,17.1782208,0.2355,0.000104641203703704,7.514
178,13.41,22.3,18.223,427.86,8.593776,0.0506,1.15625e-05,9.152
179,10.41,18.28,16.317,429.119,7.8974784,0.0105,4.89930555555556e-05,6.798
180,7.585,25.04,17.708,447.922,18.7231392,0.2498,2.92476851851852e-05,5.308
181,12.62,21.23,17.605,430.852,12.6888768,0.153,0.000142314814814815,5.706
182,10.1,17.75,13.88,430.082,18.0206208,0.2516,2.71990740740741e-06,4.156
183,8.89,18.25,13.477,437.343,24.411888,0.2708,6.08796296296296e-05,5.983
184,5.54,19.83,14.21,436.34,21.3551424,0.3196,2.72800925925926e-05,7.742
185,12.26,18.52,15.203,429.22,9.8877888,0.1257,8.9212962962963e-05,10.851
186,14.77,19.1,16.586,422.181,15.4165248,0.1488,1.32291666666667e-05,10.107
187,11.94,18.64,14.585,423.619,16.7133888,0.1844,3.66319444444444e-05,9.043
188,9.47,19.78,14.696,425.105,26.3395584,0.3938,1.57407407407407e-06,7.871
189,11.82,23.1,16.132,431.515,16.1708832,0.1677,1.10069444444444e-05,5.088
190,12.46,21.45,15.925,427.75,17.3247552,0.1842,3.13657407407407e-06,4.652
191,13.53,25.59,18.964,431.882,31.1259456,0.5933,2.31481481481481e-08,2.845
192,9.51,28.16,19.992,462.636,32.6846016,0.9649,0,3.705
193,11.7,30.51,22.584,447.424,32.2069824,1.2964,0,5.555
194,13.81,29.41,21.502,450.472,28.8305568,0.8692,0.000130891203703704,5.852
195,12.4,17.54,14.86,430.497,16.1908416,0.1291,0.000271921296296296,6.309
196,10.98,19.17,15.501,427.669,19.1042496,0.1564,0.000494178240740741,9.168
197,7.874,20.58,15.19,448.096,18.5400576,0.2788,2.93981481481481e-06,4.001
198,14.2,21.24,17.212,441.495,11.7911808,0.0329,0.000427326388888889,4.649
199,13.49,20.12,16.483,431.853,15.3817056,0.1196,4.38078703703704e-05,4.754
200,12.81,19.42,15.989,448.828,13.3006752,0.1478,0.000224571759259259,4.54
201,14.11,21.15,17.401,434.133,12.2173056,0.0911,0.000557303240740741,6.425
202,13.92,18.63,16.159,424.947,7.9887168,0.0428,9.81134259259259e-05,8.173
203,13.24,18.45,15.421,426.209,12.8919168,0.1033,0.000176747685185185,4.273
204,13.07,18.42,15.468,431.105,12.6077472,0.1035,2.73032407407407e-05,4.783
205,7.705,20.74,15.222,450.058,22.937904,0.3437,0,2.836
206,14.35,19.04,16.637,430.649,14.9517792,0.1647,1.80439814814815e-05,5.369
207,12.49,21.22,15.959,426.881,17.4284352,0.3098,3.74768518518519e-05,6.247
208,12.99,18.74,15.573,426.029,13.411008,0.1916,1.73263888888889e-05,5.162
209,14.4,20.4,16.632,423.64,14.9867712,0.2052,6.31828703703704e-05,4.717
210,15.1,21.25,17.586,420.984,11.7872064,0.1172,7.40740740740741e-05,6.892
211,13.79,20.43,17.147,425.01,10.1830176,0.0129,4.98263888888889e-05,5.86
212,11.53,21.12,16.607,425.528,19.3617216,0.257,4.36921296296296e-05,5.478
213,12.05,19.11,14.834,421.501,16.0324704,0.3038,1.93518518518519e-05,5.332
214,11.16,20.36,16.207,439.593,14.5082016,0.1699,6.26157407407407e-06,4.116
215,13.68,20.38,17.048,423.996,17.8820352,0.2471,8.96296296296296e-05,7.117
216,12.45,18.48,16.343,418.137,20.3373504,0.3431,7.42476851851852e-05,12.955
217,10.7,18.71,14.601,416.706,20.518704,0.3924,9.81481481481481e-06,9.18
218,9.46,18.5,14.504,425.921,13.9766688,0.2216,4.2037037037037e-05,5.917
219,12.31,19.35,15.632,417.185,15.8000544,0.2431,4.77430555555556e-05,8.6
220,12.19,19.93,15.659,417.364,17.8289856,0.3575,1.72106481481481e-05,8.113
221,7.942,19.9,15.217,419.744,21.7612224,0.3409,3.52662037037037e-05,8.502
222,5.16,24.19,15.686,448.527,11.4237216,0.2149,4.06134259259259e-05,4.114
223,13.12,24.13,19.167,453.728,19.6712064,0.3702,1.05092592592593e-05,3.444
224,9.91,28.32,19.861,450.504,24.7186944,0.7771,6.43518518518519e-06,3.117
225,10.29,24.18,18.177,456.737,22.259664,0.3467,5.9837962962963e-06,3.481
226,13.1,23.62,17.907,466.224,16.646688,0.2781,9.92592592592593e-05,3.748
227,9,24.07,17.141,468.803,20.4982272,0.3788,5.21990740740741e-06,2.8
228,11.84,22.98,17.257,427.744,16.2282528,0.2213,1.40856481481481e-05,6.218
229,12.52,24.06,17.4,429.476,19.6740576,0.4829,3.54166666666667e-06,5.542
230,10.47,21.97,16.535,436.593,10.3241952,0.1415,5.16550925925926e-05,4.619
231,14.67,18.86,16.304,426.729,9.4366944,0.1546,7.11805555555556e-06,5.941
232,10.37,17.25,15.13,423.141,8.4632256,0.147,3.93518518518519e-07,4.887
233,8.67,19.88,14.331,467.773,17.749152,0.3697,0,1.828
234,5.854,20.18,14.387,473.732,13.6825632,0.256,8.92361111111111e-06,2.327
235,16.1,20.26,17.683,439.895,7.2639936,0.0048,8.15046296296296e-05,2.928
236,13.09,21.73,17.386,430.839,13.356144,0.2768,7.59259259259259e-06,4.628
237,14.01,23.31,17.619,423.44,12.9965472,0.2343,9.9224537037037e-05,7.501
238,12.13,17.95,15.251,417.796,14.7184128,0.1481,7.58912037037037e-05,6.558
239,12.08,17.44,14.541,414.554,14.4450432,0.0539,0.000281655092592593,7.388
240,12.78,14.99,13.491,420.188,6.2512992,0.0204,0.000318946759259259,7.814
241,10.5,18.15,14.457,423.705,14.1195744,0.1433,4.64930555555556e-05,7.166
242,9.47,19.49,13.636,439.642,8.2536192,0.019,0.000204363425925926,8.33
243,12.28,18.31,14.353,459.434,13.225248,0.1536,0.000182546296296296,11.019
244,10.64,16.11,13.526,492.44,10.5492672,0.018,7.95486111111111e-05,8.048
245,8.11,17.51,13.719,508.053,11.1690144,0.2114,4.44097222222222e-05,3.274
246,9.18,16.47,13.348,549.622,9.1663488,0.0073,0.000689270833333333,4.946
247,8.43,17.5,12.781,593.286,15.216768,0.058,0.000137905092592593,5.349
248,11.02,17.39,13.911,517.113,10.0705248,0.1458,1.31134259259259e-05,4.608
249,13.27,18.48,16.047,481.311,6.8198112,0.2025,6.2037037037037e-06,9.093
250,10.21,17.8,15.419,535.172,10.2486816,0.1237,0.000153483796296296,8.717
251,8.2,17.04,12.388,525.064,14.7001824,0.2455,2.06828703703704e-05,4.961
252,10.95,19.72,14.534,589.394,10.9893024,0.0665,0.000168263888888889,7.255
253,10.18,16.57,13.16,553.597,11.3616,0.0574,0.000119641203703704,7.378
254,9.86,12.44,10.936,579.692,9.2139552,0.0084,0.000158587962962963,8.182
255,7.677,13.54,10.614,559.555,9.9296928,0.0133,0.000257118055555556,7.076
256,7.47,14.34,10.663,540.685,10.7415072,0.017,0.000191134259259259,7.064
257,5.264,18.8,11.975,504.657,8.6164992,0.0515,0.000301655092592593,8.333
258,10.85,14.74,12.979,488.057,9.352368,0.0464,8.94907407407407e-05,14.865
259,9.86,15.94,12.351,409.276,10.2396096,0.0991,0.000257928240740741,6.613
260,11.39,17.72,15.251,408.514,11.5687008,0.1907,0.000326435185185185,9.902
261,10.49,19.22,15.008,417.311,5.4310176,0.0101,0.000278194444444444,6.578
262,11.54,16.94,14.551,420.595,6.4930464,0.0613,0.000309710648148148,3.568
263,6.57,14.74,10.99,438.207,7.2741024,0.1016,0.000124016203703704,4.608
264,4.395,13.66,8.495,414.488,14.0988384,0.1696,3.02083333333333e-06,5.272
265,-0.191,14.21,7.287,436.792,14.6095488,0.2159,0,2.456
266,-0.464,15.49,7.689,466.754,15.056496,0.2477,0,2.093
267,2.932,17.23,10.085,428.611,14.1129216,0.2236,2.31481481481481e-08,3.674
268,4.167,16.84,10.262,420.342,10.1107008,0.1916,1.73611111111111e-07,4.357
269,4.028,17.07,11.065,415.431,13.2935904,0.2384,0,6.614
270,5.035,15.13,11.819,410.159,8.78904,0.1198,0.000197928240740741,5.508
271,4.915,15.57,9.953,429.835,10.757664,0.0591,3.17939814814815e-05,2.165
272,3.719,16.04,11.062,437.491,7.2294336,0.0698,3.51851851851852e-06,3.499
273,12.8,17.14,14.665,408.203,4.3301952,0.0127,0.000198958333333333,5.997
274,14.34,18.67,16.041,410.779,6.286896,0.044,0.00014974537037037,7.424
275,13.68,15.83,15.016,409.723,1.6267392,0.0083,0.000656145833333333,8.291
276,9.25,18.26,12.655,409.616,3.4394112,0.0252,0.000547604166666667,13.129
277,7.919,13.62,10.532,411.307,7.2360864,0.1095,0.000100729166666667,15.084
278,8.6,14.35,11.495,411.485,8.0279424,0.09,6.45833333333333e-06,9.101
279,11.27,18.61,13.856,413.259,9.012384,0.2014,3.47222222222222e-08,6.243
280,8.63,15.99,12.884,413.704,4.7185632,0.0101,1.99305555555556e-05,5.254
281,7.614,14.39,10.726,422.765,7.0034112,0.1322,5.78703703703704e-07,5.08
282,8.52,14.42,11.895,418.703,6.2625312,0.073,7.4537037037037e-06,5.083
283,9.56,12.16,10.725,417.302,3.9289536,0.1292,1.0787037037037e-05,3.048
284,8.99,11.09,9.846,418.638,3.9818304,0.1301,7.84722222222222e-06,1.676
285,7.651,12.08,9.624,423.319,3.2903712,0.0473,1.25e-06,2.861
286,8.83,12.57,10.886,428.398,2.3355648,0.0065,4.05092592592593e-06,2.795
287,11.03,13.69,12.088,426.654,2.9469312,0.006,1.21412037037037e-05,2.465
288,9.55,11.91,10.648,424.966,2.30256,0.0062,5.92592592592593e-06,3.395
289,9.21,11.81,10.353,431.477,2.9274912,0.058,4.6875e-06,2.183
290,9.32,14.89,11.719,421.825,4.7261664,0.0876,5.3587962962963e-06,5.072
291,11.04,14.46,12.482,418.929,2.1874752,0.0321,0.000210960648148148,8.155
292,9.11,16.62,13.24,407.792,5.7130272,0.0386,0.000622685185185185,6.464
293,10.24,14.41,11.635,414.868,4.5017856,0.0166,0.000276944444444444,5.994
294,6.22,13.36,10.854,415.923,4.8652704,0.0374,4.16087962962963e-05,6.934
295,5.277,12.55,8.69,416.401,6.8153184,0.0383,0.000222268518518519,3.616
296,5.045,10.08,7.03,412.954,6.6861504,0.0544,0.000360289351851852,7.8
297,5.242,11.13,8.766,412.093,5.5897344,0.0212,0.000123819444444444,7.152
298,5.689,10.85,7.847,414.265,6.5674368,0.0606,2.41550925925926e-05,7.64
