"doy","NEE_gCm2day","NEE_unc_gCm2day","Evap_kgH2Om2day","Evap_unc_kgH2Om2day","soil_water_m3m3","soil_water_unc_m3m3","WTD_m","WTD_unc_m"
179,-0.0477892004544,0.58,1.27478521862032,0.77,-9999,-9999,-0.45,-0.045
180,-1.75337199072,0.58,2.52662074028821,0.77,-9999,-9999,-0.45125,-0.045125
181,-2.23847991072,0.58,2.22907956132374,0.77,-9999,-9999,-0.438958333333333,-0.0438958333333333
182,-1.9883198736,0.58,1.73498107881796,0.77,-9999,-9999,-0.443333333333333,-0.0443333333333333
183,-1.85884015968,0.58,1.70772906773399,0.77,-9999,-9999,-0.441666666666667,-0.0441666666666667
184,-1.35201393216,0.58,1.39377775054974,0.77,-9999,-9999,-0.440625,-0.0440625
185,-2.56947397344,0.58,1.5977084615492,0.77,-9999,-9999,-0.44,-0.044
186,-2.84201642304,0.58,1.99548702355812,0.77,-9999,-9999,-0.45,-0.045
187,0.931311741312,0.58,0.421026490588247,0.77,-9999,-9999,-0.457083333333333,-0.0457083333333333
188,-1.99000088928,0.58,2.53888133474797,0.77,-9999,-9999,-0.458958333333333,-0.0458958333333333
189,-1.4302641744,0.58,0.932754841692005,0.77,-9999,-9999,-0.46,-0.046
190,-2.31052492224,0.58,2.52686362234469,0.77,-9999,-9999,-0.46,-0.046
191,-1.27778982624,0.58,2.92321219443831,0.77,-9999,-9999,-0.46,-0.046
192,-1.28417145984,0.58,2.24242362253185,0.77,-9999,-9999,-0.46,-0.046
193,-1.58692030848,0.58,1.53504124236759,0.77,-9999,-9999,-0.46,-0.046
194,-2.44409303232,0.58,1.36654682100595,0.77,-9999,-9999,-0.46,-0.046
195,-1.72782470304,0.58,1.28069531082366,0.77,-9999,-9999,-0.46,-0.046
196,-0.502620575328,0.58,1.8825288744633,0.77,-9999,-9999,-0.46,-0.046
197,-1.729785888,0.58,1.5730391254696,0.77,-9999,-9999,-0.461458333333333,-0.0461458333333333
198,-0.589101568416,0.58,2.12650890278199,0.77,-9999,-9999,-0.46625,-0.046625
199,-0.710191768896,0.58,3.42118900981183,0.77,-9999,-9999,-0.47,-0.047
200,-0.293367328416,0.58,2.67009714608582,0.77,-9999,-9999,-0.469375,-0.0469375
201,-2.43820947744,0.58,2.04883005861234,0.77,-9999,-9999,-0.47,-0.047
202,-2.10354208416,0.58,1.83480240066143,0.77,-9999,-9999,-0.47,-0.047
203,0.514933496352,0.58,0.637897364037531,0.77,-9999,-9999,-0.47,-0.047
204,-0.703767591072,0.58,1.23478850291086,0.77,-9999,-9999,-0.47,-0.047
205,0.957886316352,0.58,0.985078357030505,0.77,-9999,-9999,-0.467708333333333,-0.0467708333333333
206,0.31017333456,0.58,0.472384932565551,0.77,-9999,-9999,-0.46,-0.046
207,-1.28546853984,0.58,1.80083860919642,0.77,-9999,-9999,-0.46,-0.046
208,-9999,-9999,2.12317281009464,0.77,-9999,-9999,-0.466875,-0.0466875
209,0.0620935024608,0.58,0.639827999070045,0.77,-9999,-9999,-0.47,-0.047
210,-0.810596137536,0.58,2.15949087387938,0.77,-9999,-9999,-0.47,-0.047
211,-0.713442770208,0.58,1.80581422870513,0.77,-9999,-9999,-0.468541666666667,-0.0468541666666667
212,-0.793011883392,0.58,0.876211155624501,0.77,-9999,-9999,-0.468125,-0.0468125
213,-0.902516565312,0.58,1.6746962548008,0.77,-9999,-9999,-0.466458333333333,-0.0466458333333333
214,0.752281496064,0.58,1.59060796451546,0.77,-9999,-9999,-0.46,-0.046
215,-0.57772462032,0.58,0.673345480557688,0.77,-9999,-9999,-0.460208333333333,-0.0460208333333333
216,-2.29622591232,0.58,2.44201406586534,0.77,-9999,-9999,-0.465416666666667,-0.0465416666666667
217,-2.45877597792,0.58,1.98622987224365,0.77,-9999,-9999,-0.468125,-0.0468125
218,-1.82508494976,0.58,1.26305282031446,0.77,-9999,-9999,-0.47,-0.047
219,0.508784299488,0.58,0.598493851976426,0.77,-9999,-9999,-0.47,-0.047
220,-1.82048809824,0.58,1.9994459258857,0.77,-9999,-9999,-0.47,-0.047
221,-1.24477135776,0.58,1.94494488479332,0.77,-9999,-9999,-0.47,-0.047
222,-0.277966319328,0.58,2.47668031419538,0.77,-9999,-9999,-0.47,-0.047
223,-0.369371028096,0.58,2.60908838436777,0.77,-9999,-9999,-0.47,-0.047
224,-1.238451984,0.58,1.87336832089417,0.77,-9999,-9999,-0.47,-0.047
225,-0.554882522688,0.58,2.02694337256498,0.77,-9999,-9999,-0.468958333333333,-0.0468958333333333
226,-0.447424114176,0.58,1.50646252495842,0.77,-9999,-9999,-0.438125,-0.0438125
227,3.1297502736,0.58,0.166905394998344,0.77,-9999,-9999,-0.398333333333333,-0.0398333333333333
228,1.673752032,0.58,0.624503063576244,0.77,-9999,-9999,-0.235833333333333,-0.0235833333333333
229,-1.39063578624,0.58,1.97037232482752,0.77,-9999,-9999,-0.27125,-0.027125
230,0.603163990944,0.58,0.998687334015407,0.77,-9999,-9999,-0.303958333333333,-0.0303958333333333
231,-0.566095519872,0.58,1.29230134132655,0.77,-9999,-9999,-0.32125,-0.032125
232,-0.830386465344,0.58,1.7984091756537,0.77,-9999,-9999,-0.320416666666667,-0.0320416666666667
233,-1.42827185952,0.58,1.61490728189055,0.77,-9999,-9999,-0.332291666666667,-0.0332291666666667
234,1.30183250112,0.58,0.481244917117124,0.77,-9999,-9999,-0.345208333333333,-0.0345208333333333
235,-0.1032997624992,0.58,1.03421623597052,0.77,-9999,-9999,-0.356666666666667,-0.0356666666666667
236,-0.397266549408,0.58,1.3141154699894,0.77,-9999,-9999,-0.3025,-0.03025
237,-0.868089986784,0.58,1.3953172924445,0.77,-9999,-9999,-0.264791666666667,-0.0264791666666667
238,0.370744895232,0.58,1.02356617299612,0.77,-9999,-9999,-0.256458333333333,-0.0256458333333333
239,-1.53902173824,0.58,1.82017387058934,0.77,-9999,-9999,-0.179166666666667,-0.0179166666666667
240,-0.865679493312,0.58,1.49449117794798,0.77,-9999,-9999,-0.205416666666667,-0.0205416666666667
241,-0.219312361728,0.58,1.1375469211277,0.77,-9999,-9999,-0.231458333333333,-0.0231458333333333
242,-9999,-9999,0.481200600980586,0.77,-9999,-9999,-0.253958333333333,-0.0253958333333333
243,-9999,-9999,1.29627532664031,0.77,-9999,-9999,-0.274166666666667,-0.0274166666666667
244,-9999,-9999,1.29483661782164,0.77,-9999,-9999,-0.295416666666667,-0.0295416666666667
245,-9999,-9999,1.49326226640545,0.77,-9999,-9999,-0.313333333333333,-0.0313333333333333
246,2.00514040704,0.58,0.367707899870435,0.77,-9999,-9999,-0.3275,-0.03275
247,1.12543999776,0.58,0.753673464987594,0.77,-9999,-9999,-0.344791666666667,-0.0344791666666667
248,-0.442389368448,0.58,1.52133540187878,0.77,-9999,-9999,-0.356875,-0.0356875
249,2.1970978704,0.58,0.427534541058203,0.77,-9999,-9999,-0.289375,-0.0289375
250,-0.096420776544,0.58,1.1612693304515,0.77,-9999,-9999,-0.135,-0.0135
251,2.1153818304,0.58,0.250957641902731,0.77,-9999,-9999,-0.110625,-0.0110625
252,2.67601093632,0.58,0.300392932984889,0.77,-9999,-9999,-0.0783333333333333,-0.00783333333333333
253,0.154567316448,0.58,0.849824458530128,0.77,-9999,-9999,-0.103541666666667,-0.0103541666666667
254,0.755474388192,0.58,0.61461762680313,0.77,-9999,-9999,-0.114791666666667,-0.0114791666666667
255,0.0334435994208,0.58,1.21141214410218,0.77,-9999,-9999,-0.0910416666666667,-0.00910416666666667
256,-0.89687374848,0.58,1.32657335878555,0.77,-9999,-9999,-0.123541666666667,-0.0123541666666667
257,-0.180583628256,0.58,0.804658819395398,0.77,-9999,-9999,-0.144375,-0.0144375
258,-0.878599447776,0.58,1.72393668784876,0.77,0.71427,0.071427,-0.16,-0.016
259,-0.756667701792,0.58,1.64343128677848,0.77,0.71412,0.071412,-0.178958333333333,-0.0178958333333333
260,-1.116007632,0.58,1.78251913298189,0.77,0.72029,0.072029,-0.196458333333333,-0.0196458333333333
261,0.591175858752,0.58,0.70524938002229,0.77,0.71091,0.071091,-0.213541666666667,-0.0213541666666667
262,0.33372311904,0.58,1.24956594909324,0.77,0.70358,0.070358,-0.225625,-0.0225625
263,0.353955491712,0.58,1.48095170675913,0.77,0.70425,0.070425,-0.236875,-0.0236875
264,0.270651825792,0.58,1.52855090948342,0.77,0.7024,0.07024,-0.24875,-0.024875
265,1.4449990032,0.58,0.760232802154223,0.77,0.70015,0.070015,-0.230833333333333,-0.0230833333333333
266,-0.157560977088,0.58,1.50774303736229,0.77,0.70238,0.070238,-0.202916666666667,-0.0202916666666667
267,-9999,-9999,1.50623514920002,0.77,0.7072,0.07072,-0.21,-0.021
268,-9999,-9999,0.673285333551039,0.77,0.70937,0.070937,-9999,-9999
269,-0.0733947010848,0.58,1.33900072825894,0.77,0.71983,0.071983,-0.194166666666667,-0.0194166666666667
270,-0.174928359456,0.58,1.50781461191652,0.77,0.72344,0.072344,-0.185,-0.0185
271,0.869724307584,0.58,0.939272619058725,0.77,0.71124,0.071124,-0.19125,-0.019125
272,0.92942526816,0.58,0.887560567912511,0.77,0.70934,0.070934,-9999,-9999
273,2.37057453792,0.58,1.13315766019587,0.77,0.70454,0.070454,-0.115416666666667,-0.0115416666666667
274,0.464778006912,0.58,1.13727055558832,0.77,0.71675,0.071675,-0.08125,-0.008125
275,0.14613422112,0.58,1.24703213435878,0.77,0.70513,0.070513,-0.1025,-0.01025
276,1.38270803328,0.58,1.06771507024483,0.77,0.6782,0.06782,-0.121041666666667,-0.0121041666666667
277,2.4989024448,0.58,1.00009338930922,0.77,0.70146,0.070146,-0.095625,-0.0095625
278,2.04724881216,0.58,0.594344425351042,0.77,0.73188,0.073188,-0.0760416666666667,-0.00760416666666667
279,0.986156434368,0.58,1.55159545351211,0.77,0.72649,0.072649,-0.0864583333333333,-0.00864583333333333
