,run_day,minT,maxT,srad,co2,DOY,lagged_precip,Lai_loss,burnt_area_fraction,21d_minT,21d_photoperiod,21d_vpd,Forest_mgmt_after_clearing,Mean_T,doy,mint_C,maxt_C
2018-03-11,441.0,3.7960902622767856,9.013231549944196,13.004363,409.1225,76.0,-9999.0,0.47,-9999.0,273.4233110700335,38737.70168691332,113.10737166112781,-9999.0,-9999.0,70,3.7960902622767856,9.013231549944196
2018-03-18,448.0,0.5999189104352679,5.667550223214286,14.377882,409.39,83.0,-9999.0,0.11,-9999.0,274.36511633217737,40367.85126184088,104.8424364985252,-9999.0,-9999.0,77,0.5999189104352679,5.667550223214286
2018-03-25,455.0,2.0792410714285716,8.124180385044642,16.106734,409.605,90.0,-9999.0,1.4,-9999.0,275.3248383191167,42016.87509846585,123.92386557131397,-9999.0,-9999.0,84,2.0792410714285716,8.124180385044642
2018-04-01,462.0,4.880937848772321,10.952627999441964,18.132792,409.82,97.0,-9999.0,0.28,-9999.0,275.3411529748618,43673.463127794836,131.46629644899951,-9999.0,-9999.0,91,4.880937848772321,10.952627999441964
2018-04-08,469.0,5.768341064453125,12.6822509765625,16.94819,410.03499999999997,104.0,-9999.0,0.19,-9999.0,276.8964392006803,45327.046741345395,139.08869954842288,-9999.0,-9999.0,98,5.768341064453125,12.6822509765625
2018-04-15,476.0,7.922398158482143,15.797620500837054,22.607276,410.25,111.0,-9999.0,0.1,-9999.0,278.4630318777901,46966.7601821061,161.58890673579003,-9999.0,-9999.0,105,7.922398158482143,15.797620500837054
2018-04-22,483.0,6.659166608537946,12.138039725167411,20.542308,410.448,118.0,-9999.0,0.2,-9999.0,279.779127554342,48580.41021286254,203.68486567905975,-9999.0,-9999.0,112,6.659166608537946,12.138039725167411
2018-04-29,490.0,5.409048897879464,12.588897705078125,22.431952,410.646,125.0,-9999.0,0.09,-9999.0,279.7857212196402,50153.489644832276,229.04385261795147,-9999.0,-9999.0,119,5.409048897879464,12.588897705078125
2018-05-06,497.0,6.134059361049107,15.004010881696429,25.20946,410.844,132.0,-9999.0,0.09,-9999.0,279.58971989430535,51668.29558975842,257.47301607715843,-9999.0,-9999.0,126,6.134059361049107,15.004010881696429
2018-05-13,504.0,6.134172712053571,15.489161900111608,27.777424,411.04200000000003,139.0,-9999.0,0.68,-9999.0,278.97167001322015,53103.25745170482,268.969307931913,-9999.0,-9999.0,133,6.134172712053571,15.489161900111608
2018-05-20,511.0,9.696071079799108,18.666691371372767,27.331616,411.24,146.0,-9999.0,0.25,-9999.0,279.8099700304926,54432.63755787256,321.89640382520196,-9999.0,-9999.0,140,9.696071079799108,18.666691371372767
2018-05-27,518.0,13.237884521484375,19.010554722377233,23.77078,411.1275,153.0,-9999.0,0.0,-9999.0,281.696943924054,55626.82295070076,324.7191587694648,-9999.0,-9999.0,147,13.237884521484375,19.010554722377233
2018-06-03,525.0,12.427289690290179,19.50457763671875,26.231396,411.015,160.0,-9999.0,0.14,-9999.0,284.03604611766576,56653.445966652595,343.04920160202755,-9999.0,-9999.0,154,12.427289690290179,19.50457763671875
2018-06-10,532.0,11.983873639787946,18.619964599609375,26.695486,410.90250000000003,167.0,-9999.0,0.21,-9999.0,285.64602503354854,57479.5009242742,345.5154390918965,-9999.0,-9999.0,161,11.983873639787946,18.619964599609375
2018-06-17,539.0,11.124110630580358,18.394871303013392,30.227725999999997,410.79,174.0,-9999.0,0.06,-9999.0,285.4490625083041,58074.41442645574,366.7982992574471,-9999.0,-9999.0,168,11.124110630580358,18.394871303013392
2018-06-24,546.0,13.246425083705358,25.018306187220983,30.326638,410.26750000000004,181.0,-9999.0,1.5,-9999.0,285.12366436809094,58413.681942241245,507.5863698323568,-9999.0,-9999.0,175,13.246425083705358,25.018306187220983
2018-07-01,553.0,14.809443882533483,23.482373918805802,28.858895999999998,409.745,188.0,-9999.0,0.13,-9999.0,285.85393070558297,58482.31837410228,657.4138432716837,-9999.0,-9999.0,182,14.809443882533483,23.482373918805802
2018-07-08,560.0,14.85284423828125,23.86818586077009,27.776488,409.22249999999997,195.0,-9999.0,0.49,-9999.0,286.86947183414384,58277.198665091346,779.118405296689,-9999.0,-9999.0,189,14.85284423828125,23.86818586077009
2018-07-15,567.0,13.672642299107142,21.512904575892858,25.591984,408.7,202.0,-9999.0,0.55,-9999.0,287.59506067807985,57807.56771952146,735.0607986969202,-9999.0,-9999.0,196,13.672642299107142,21.512904575892858
