"doy","NEE_gCm2day","NEE_unc_gCm2day","Evap_kgH2Om2day","Evap_unc_kgH2Om2day","soil_water_m3m3","soil_water_unc_m3m3"
87,-9999,-9999,1.03049495774604,0.77,-9999,-9999
88,0.778920406272,0.58,0.259157048102607,0.77,-9999,-9999
89,0.3708611136,0.58,1.05851276184332,0.77,-9999,-9999
90,0.490941667008,0.58,0.602241738740404,0.77,-9999,-9999
91,0.1020020599008,0.58,1.22792818637317,0.77,-9999,-9999
92,0.381146439168,0.58,1.07532279627211,0.77,-9999,-9999
93,-9999,-9999,0.746980296100487,0.77,-9999,-9999
94,0.358879207392,0.58,0.949189871892294,0.77,-9999,-9999
95,0.7868346696,0.58,0.225042736883657,0.77,-9999,-9999
96,0.0731037400992,0.58,1.38641998213297,0.77,-9999,-9999
97,0.41486325552,0.58,1.11039584817042,0.77,-9999,-9999
98,0.124911916992,0.58,1.3935064059974,0.77,-9999,-9999
99,-9999,-9999,1.40273678325086,0.77,-9999,-9999
100,0.0694869622272,0.58,0.922933015546846,0.77,-9999,-9999
101,0.428994163872,0.58,0.610168940479837,0.77,-9999,-9999
102,1.49512855104,0.58,0.174921426034326,0.77,-9999,-9999
103,0.933402634272,0.58,0.628865543164428,0.77,-9999,-9999
104,0.261481989024,0.58,1.06040657043404,0.77,-9999,-9999
105,0.460689610752,0.58,0.682306985895581,0.77,-9999,-9999
106,0.0113832778464,0.58,0.946054119375231,0.77,-9999,-9999
107,0.154846448064,0.58,1.08519646907559,0.77,-9999,-9999
108,0.31170388896,0.58,1.53635287812482,0.77,-9999,-9999
109,-0.0869185759968,0.58,0.972505079289705,0.77,-9999,-9999
110,-0.233431855776,0.58,1.40389628444878,0.77,-9999,-9999
111,-0.132131983104,0.58,0.908906302031839,0.77,-9999,-9999
112,0.204696864288,0.58,0.929120675127034,0.77,-9999,-9999
113,0.412052223744,0.58,0.648106703793034,0.77,-9999,-9999
114,0.374646511872,0.58,0.359762926472767,0.77,-9999,-9999
115,-0.094969084608,0.58,1.25275434636774,0.77,-9999,-9999
116,0.260909198496,0.58,0.775879877055669,0.77,-9999,-9999
117,0.082853319744,0.58,1.37340956916637,0.77,-9999,-9999
118,-0.15890267664,0.58,1.00722159801684,0.77,-9999,-9999
119,0.132532521408,0.58,1.18827386990598,0.77,-9999,-9999
120,0.572916085344,0.58,0.830434720253002,0.77,-9999,-9999
121,0.311850199584,0.58,1.43088770305982,0.77,-9999,-9999
122,1.42483719168,0.58,0.310320615294942,0.77,-9999,-9999
123,0.574403057856,0.58,0.511986197294545,0.77,-9999,-9999
124,-0.219183691392,0.58,1.37443155837884,0.77,-9999,-9999
125,0.234816099552,0.58,0.811338847650619,0.77,-9999,-9999
126,0.0141252012,0.58,1.16727864669467,0.77,-9999,-9999
127,0.518892184512,0.58,0.662050643966176,0.77,-9999,-9999
128,-0.22067481456,0.58,1.50796023603505,0.77,-9999,-9999
129,0.492676641216,0.58,0.788445466271387,0.77,-9999,-9999
130,-0.621486024192,0.58,1.80268209102728,0.77,-9999,-9999
131,-1.025251463232,0.58,2.05292986425724,0.77,-9999,-9999
132,-0.459146604384,0.58,1.69873153442201,0.77,-9999,-9999
133,0.354987967392,0.58,0.5476849685251,0.77,-9999,-9999
134,-1.08341460576,0.58,2.03937258514976,0.77,-9999,-9999
135,-0.526830314112,0.58,1.21053935993134,0.77,-9999,-9999
136,1.95531178176,0.58,0.191284851863141,0.77,-9999,-9999
137,-0.910023026688,0.58,1.78992306775264,0.77,-9999,-9999
138,-1.24433553888,0.58,2.98386378390147,0.77,-9999,-9999
139,-1.39170458016,0.58,2.98060247879729,0.77,-9999,-9999
140,-1.5594533424,0.58,1.30824113824412,0.77,-9999,-9999
141,-1.04224009824,0.58,1.3792315773747,0.77,-9999,-9999
142,-0.747317311488,0.58,0.825354919681787,0.77,-9999,-9999
143,-1.83729825504,0.58,1.79295455940862,0.77,-9999,-9999
144,-1.65136961952,0.58,1.94764470865232,0.77,-9999,-9999
145,-1.75867445376,0.58,1.85689178222452,0.77,-9999,-9999
146,-1.92269800224,0.58,2.01989736975046,0.77,-9999,-9999
147,-1.96162077888,0.58,1.97131313599399,0.77,-9999,-9999
148,-9999,-9999,1.62349738129143,0.77,-9999,-9999
149,-9999,-9999,1.37263332734038,0.77,-9999,-9999
150,-0.842434782048,0.58,1.22080101387646,0.77,-9999,-9999
151,-1.50667775136,0.58,0.903084249137019,0.77,-9999,-9999
152,-0.704716015968,0.58,1.19188295875644,0.77,-9999,-9999
153,-1.54187531424,0.58,1.97047246344392,0.77,-9999,-9999
154,-0.938921969088,0.58,1.08713981800959,0.77,-9999,-9999
155,-2.00994479136,0.58,2.33426305593678,0.77,-9999,-9999
156,-1.86173524224,0.58,1.73163407665918,0.77,-9999,-9999
157,-2.24136461664,0.58,1.39179292480043,0.77,-9999,-9999
158,-2.2244922,0.58,1.60694971926395,0.77,-9999,-9999
159,0.504708355296,0.58,0.657281090075201,0.77,-9999,-9999
160,-1.61288266176,0.58,1.8376246429271,0.77,-9999,-9999
161,-2.5316926272,0.58,3.02032090573916,0.77,-9999,-9999
162,-0.860416461504,0.58,1.43827315863191,0.77,-9999,-9999
163,-2.543314464,0.58,1.69336552596922,0.77,-9999,-9999
164,-1.70579509632,0.58,0.854827622272006,0.77,-9999,-9999
165,-9999,-9999,1.51114591410361,0.77,-9999,-9999
