"doy","mint_C","maxt_C","airt_C","co2_ppm","swrad_MJm2day","vpd_kPa","precip_kgm2s","wind_spd_ms"
184,10.01,14.8,12.394,407.994,14.0126112,0.177,3.47222222222222e-06,5.883
185,9.52,14.74,11.785,408.197,20.3413248,0.1816,4.28240740740741e-06,7.757
186,9.34,17.04,12.978,405.566,19.807632,0.3435,3.00925925925926e-06,5.112
187,12.32,15.27,13.642,406.754,8.027424,0.0419,2.75462962962963e-05,7.372
188,11.21,20.42,15.567,398.083,28.0636704,0.2418,0,5.062
189,12.54,17.1,14.303,403.968,15.8897376,0.086,2.5462962962963e-06,6.094
190,9.84,20.33,15.167,397.078,28.0128672,0.3981,0,5.385
191,13.08,23.83,18.133,395.847,30.2605632,0.5196,5.78703703703704e-07,4.181
192,11.95,22.55,17.899,402.036,18.8193888,0.4887,0,3.903
193,10.71,20.08,16.811,400.072,15.1082496,0.3166,0,5.65
194,9.11,16.24,12.966,405.319,20.01672,0.2569,0,5.724
195,9.42,16.35,13.064,404.11,15.65352,0.2255,1.86342592592593e-05,4.294
196,9.62,18.95,13.998,402.525,16.265232,0.2106,3.84259259259259e-05,4.242
197,7.43,19.53,13.738,403.515,19.6103808,0.1822,0,3.943
198,14.06,24.09,18.597,396.898,14.7102048,0.5886,1.15740740740741e-06,3.403
199,15.04,28.38,21.911,392.19,26.7171264,1.1682,0,3.458
200,16.15,30.26,23.076,393.506,17.024256,1.2206,0,1.885
201,10.28,21.32,16.381,399.837,20.121264,0.3346,0,3.975
202,10.57,18.05,14.505,401.834,17.8465248,0.2757,0,2.008
203,11.6,16.73,13.972,403.979,7.8781248,0.1085,6.8287037037037e-06,1.073
204,13.4,18.6,16.286,396.708,12.820896,0.1677,3.58796296296296e-06,3.067
205,14.65,20.09,16.771,395.668,8.6928768,0.136,5.23148148148148e-05,5.935
206,11.5,17.83,14.09,404.066,7.4453472,0.0479,7.73148148148148e-05,3.101
207,8.18,15.89,12.734,409.444,14.0308416,0.3405,0,2.199
208,6.22,17.57,12.669,409.358,21.5434944,0.3049,0,2.02
209,9.25,17.18,13.592,417.516,8.646048,0.156,1.85185185185185e-06,1.129
210,12.2,20.91,16.213,399.97,20.9672928,0.425,5.09259259259259e-06,3.27
211,11.19,20.56,16.551,396.096,15.5324736,0.1661,1.34259259259259e-05,4.867
212,9.79,17.31,13.234,410.65,11.334816,0.1316,9.83796296296296e-06,2.089
213,7.52,18.19,13.778,404.851,18.6986016,0.2348,5.65972222222222e-05,4.47
214,15.22,21.31,18.452,391.138,10.7681184,0.2472,1.58564814814815e-05,6.92
215,10.71,16.94,14.545,396.576,10.4821344,0.1225,1.30787037037037e-05,5.821
216,7.13,15.75,11.991,406.468,21.4779168,0.257,4.17824074074074e-05,4.395
217,5.32,16.16,10.774,409.27,19.6113312,0.2633,8.7962962962963e-06,4.075
218,6.92,16.82,12.83,403.691,14.600736,0.2029,4.62962962962963e-06,5.441
219,12.24,18.31,14.397,397.714,10.0564416,0.0662,4.28240740740741e-06,5.972
220,11.58,19.68,15.345,399.254,22.3195392,0.354,1.04166666666667e-06,4.27
221,11.71,22.55,17.041,399.194,19.433088,0.3721,0,3.723
222,10.59,25.4,17.882,400.208,24.5213568,0.7522,0,3.291
223,10.53,25.85,18.553,397.941,25.1515584,0.992,0,3.299
224,9.46,21.77,15.7,403.002,22.8779424,0.2411,0,2.452
225,13.37,23.44,17.711,392.164,20.9348064,0.3361,1.15740740740741e-06,2.106
226,10.23,22.46,15.731,405.082,17.341344,0.1113,0.000187615740740741,1.894
227,13.43,16.01,14.978,404.787,3.6768384,0,0.000259490740740741,2.327
228,10.77,15.43,13.018,400.67,6.7581216,0.0383,7.11805555555556e-05,3.46
229,9.11,15.43,12.244,399.184,18.4719744,0.2833,0,2.782
