"doy","NEE_gCm2day","NEE_unc_gCm2day","Evap_kgH2Om2day","Evap_unc_kgH2Om2day","soil_water_m3m3","soil_water_unc_m3m3"
223,-1.18447270272,0.58,1.41156733903435,0.77,0.8796,0.08796
224,-0.682566040224,0.58,0.575474917970212,0.77,0.87859,0.087859
225,-0.9682961616,0.58,1.30890499170832,0.77,0.87717,0.087717
226,-0.954724554144,0.58,1.09012230936242,0.77,0.87592,0.087592
227,-1.028723486976,0.58,0.705473913645388,0.77,0.87673,0.087673
228,-0.200164347936,0.58,0.951083198820881,0.77,0.87907,0.087907
229,-0.922207277376,0.58,0.801270312583318,0.77,0.88168,0.088168
230,-0.606694123872,0.58,0.462212563926958,0.77,0.8816,0.08816
231,-1.52491988448,0.58,1.09667895446648,0.77,0.88177,0.088177
232,0.343822702752,0.58,0.323686261788882,0.77,0.88185,0.088185
233,-0.952825629024,0.58,1.15228805131882,0.77,0.88278,0.088278
234,0.5726867616,0.58,0.189237122818629,0.77,0.88409,0.088409
235,-0.274744372608,0.58,0.36764417546599,0.77,0.88553,0.088553
236,-1.21691007936,0.58,0.644027982265542,0.77,0.88739,0.088739
237,-0.699232999392,0.58,0.928096117464181,0.77,0.88975,0.088975
238,0.165991997088,0.58,0.235416027870486,0.77,0.8917,0.08917
239,-0.217853406144,0.58,0.574244001896497,0.77,0.8921,0.08921
240,-0.312895127232,0.58,0.806326695486151,0.77,0.89184,0.089184
241,-1.18295771328,0.58,0.825112345304049,0.77,0.89161,0.089161
242,-0.758429655264,0.58,0.899224003611614,0.77,0.89168,0.089168
243,-1.036192592448,0.58,1.17677145113178,0.77,0.89235,0.089235
244,-1.07718862176,0.58,1.0343818745287,0.77,0.8932,0.08932
245,0.28711125216,0.58,0.177185567969103,0.77,0.89371,0.089371
246,0.233778435552,0.58,0.368402309775113,0.77,0.89381,0.089381
247,-0.392920812576,0.58,0.31130810160507,0.77,0.89454,0.089454
248,-0.872202249216,0.58,0.46284726329277,0.77,0.89501,0.089501
249,-0.641908289376,0.58,0.464557062079906,0.77,0.89565,0.089565
250,-0.589466826144,0.58,0.806825816504225,0.77,0.89578,0.089578
251,-0.418750344864,0.58,0.576955624467379,0.77,0.89539,0.089539
252,0.374395397184,0.58,0.16425131467181,0.77,0.89486,0.089486
253,-0.577234842912,0.58,0.613411113404309,0.77,0.8955,0.08955
254,-0.325122959808,0.58,0.601741515772642,0.77,0.89596,0.089596
255,-0.997725350304,0.58,0.647703863909389,0.77,0.89667,0.089667
256,-0.859677644736,0.58,0.706242059373429,0.77,0.89797,0.089797
257,-0.302594236704,0.58,0.527217172811432,0.77,0.89943,0.089943
258,0.220315782816,0.58,0.239836771316453,0.77,0.9,0.09
259,0.0887022166464,0.58,0.54377297598372,0.77,0.90004,0.090004
260,-0.440409505536,0.58,1.08151894204141,0.77,0.90032,0.090032
261,-0.206503437312,0.58,0.788276813177502,0.77,0.9003,0.09003
262,-0.34744622544,0.58,0.820119359958288,0.77,0.9004,0.09004
263,0.1689835824,0.58,0.607072095264907,0.77,0.90029,0.090029
264,-0.397330884576,0.58,0.525145879680557,0.77,0.90074,0.090074
265,0.88077957984,0.58,0.275323912954148,0.77,0.90099,0.090099
266,1.1237382288,0.58,0.110695634665073,0.77,0.90096,0.090096
267,0.52875206784,0.58,0.172358015973594,0.77,0.901,0.0901
268,-0.691493063616,0.58,0.573763450498562,0.77,0.90087,0.090087
269,0.838970021952,0.58,0.130959836238237,0.77,0.90125,0.090125
270,0.86706166176,0.58,0.0374845398626705,0.77,0.90268,0.090268
271,-0.65849638608,0.58,0.653687845802734,0.77,0.90331,0.090331
272,-0.162677698272,0.58,0.271195853121949,0.77,0.90458,0.090458
273,0.285900298272,0.58,0.177120564857163,0.77,0.9053,0.09053
274,-0.0482445274176,0.58,0.158555663383603,0.77,0.90594,0.090594
275,-0.503275341312,0.58,0.670096854704176,0.77,0.90611,0.090611
276,-0.0251003657952,0.58,0.19146298389355,0.77,0.90641,0.090641
277,-0.235940927328,0.58,0.239435606685741,0.77,0.90703,0.090703
278,1.025631248256,0.58,0.0604994628515197,0.77,0.90684,0.090684
279,1.19618792928,0.58,0.113255540808219,0.77,0.90644,0.090644
280,0.0756061706016,0.58,0.555296098715469,0.77,0.90617,0.090617
281,0.0973748048256,0.58,0.272466617796445,0.77,0.906,0.0906
